date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:15	36678/36678	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jun%202022%2014:20:14%20GMT	https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html	(from )
14:20:15	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		https://pastel.diplomatie.gouv.fr/robots.txt		(from )
14:20:43	82646/82646	---M-Z	200	added ('OK')	application/javascript	etag:%22142d6-4df6ad2ae2c40%22	https://cdn.diplomatie.gouv.fr/yui/yui/3.8.1/yui/yui-min.js	G:/Owns/1Httrack/CF_Site/cdn.diplomatie.gouv.fr/yui/yui/3.8.1/yui/yui-min.js	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html)
14:20:50	33622/33622	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jun%202022%2014:20:49%20GMT	https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B7a76.html	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html)
14:20:50	33842/33842	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jun%202022%2014:20:50%20GMT	https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=ES	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B789f.html	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html)
14:20:51	547/547	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jun%202022%2014:20:50%20GMT	https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/dyn/public/pageCatalogueFormation.html	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/dyn/public/pageCatalogueFormation.html	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html)
14:21:28	157540/157540	---M-Z	200	added ('OK')	text/css	etag:%2226764-5e1a655736580-gzip%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/core/core.min.css	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/core/core.min.css	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:21:37	203602/203602	---M-Z	200	added ('OK')	text/css	etag:%2231b52-5e1a65554e100-gzip%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/component/component.min.css	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/component/component.min.css	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:21:45	12899/12899	---M-Z	200	added ('OK')	application/javascript	etag:%223263-5e1a655736580-gzip%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/legacy/legacy.nomodule.min.js	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/legacy/legacy.nomodule.min.js	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:21:51	52075/52075	---M-Z	200	added ('OK')	application/javascript	etag:%22cb6b-5e1a655736580-gzip%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/core/core.module.js	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/core/core.module.js	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
